Week,Date,User,Score,Rank,Team %,Cap. Bonus
1,3-6-25,cteszn,"6,386",188,16.5%,"3,193"
1,3-6-25,swouse,"6,639",126,17.2%,
1,3-6-25,mccasual,"6,291",210,16.3%,
1,3-6-25,sweat,"6,022",275,15.6%,
1,3-6-25,fun,"6,865",96,17.8%,
1,3-6-25,caustic,"6,400",184,16.6%,
1,3-6-25,Total Score,"41,796",180,Avg Rank,
,,,,,,
2,3-10-25,swouse,"5,918",81,17.8%,"2,959"
2,3-10-25,sweat,"6,655",23,20.0%,
2,3-10-25,cteszn,"5,399",170,16.2%,
2,3-10-25,robertjr88,"2,720",1229,8.2%,
2,3-10-25,caustic,"6,723",19,20.2%,
2,3-10-25,mccasual,"5,827",99,17.5%,
2,3-10-25,Total Score,"36,201",270,Avg Rank,
,,,,,,
3,3-13-25,swouse,"7,687",74,17.3%,"3,844"
3,3-13-25,cteszn,"7,044",136,15.9%,
3,3-13-25,sweat,"6,689",175,15.1%,
3,3-13-25,mccasual,"6,699",174,15.1%,
3,3-13-25,fun,"9,069",13,20.4%,
3,3-13-25,caustic,"7,194",122,16.2%,
3,3-13-25,Total Score,"48,226",116,Avg Rank,
,,,,,,
4,3-16-25,swouse,"5,421",32,19.8%,"2,711"
4,3-16-25,cteszn,"4,394",167,16.1%,
4,3-16-25,caustic,"4,360",176,15.9%,
4,3-16-25,mccasual,"4,588",131,16.8%,
4,3-16-25,fun,"2,559",912,9.4%,
4,3-16-25,sweat,"6,031",9,22.0%,
4,3-16-25,Total Score,"30,064",238,Avg Rank,
,,,,,,
5,3-19-25,sweat,"5,667",63,17.1%,"2,834"
5,3-19-25,cteszn,"5,887",40,17.8%,
5,3-19-25,mccasual,"4,739",193,14.3%,
5,3-19-25,caustic,"4,839",176,14.6%,
5,3-19-25,robertjr88,"3,871",351,11.7%,
5,3-19-25,swouse,"5,309",107,16.0%,
5,3-19-25,Total Score,"33,146",155,Avg Rank,
,,,,,,
6,3-22-25,sweat,"7,225",91,17.7%,"3,613"
6,3-22-25,cteszn,"5,811",462,14.2%,
6,3-22-25,mccasual,"7,057",119,17.3%,
6,3-22-25,caustic,"6,654",197,16.3%,
6,3-22-25,gavinlub,"6,863",151,16.8%,
6,3-22-25,swouse,"7,280",79,17.8%,
6,3-22-25,Total Score,"44,503",183,Avg Rank,
,,,,,,
7,3-26-25,swouse,"2,938",146,16.8%,"1,469"
7,3-26-25,cteszn,"3,438",38,19.6%,
7,3-26-25,mccasual,"2,366",512,13.5%,
7,3-26-25,caustic,"3,168",85,18.1%,
7,3-26-25,sweat,"2,707",241,15.5%,
7,3-26-25,fun,"2,896",161,16.5%,
7,3-26-25,Total Score,"18,982",197,Avg Rank,
,,,,,,
8,3-29-25,swouse,"8,111",265,14.9%,"4,056"
8,3-29-25,cteszn,"9,744",24,17.9%,
8,3-29-25,mccasual,"8,501",192,15.7%,
8,3-29-25,caustic,"9,838",20,18.1%,
8,3-29-25,sweat,"9,102",92,16.8%,
8,3-29-25,fun,"8,997",114,16.6%,
8,3-29-25,Total Score,"58,349",118,Avg Rank,
,,,,,,
9,4-4-25,cteszn,"4,838",96,16.9%,"2,419"
9,4-4-25,caustic,"3,759",348,13.2%,
9,4-4-25,swouse,"7,003",2,24.5%,
9,4-4-25,robertjr88,"3,802",337,13.3%,
9,4-4-25,dortch,"3,881",314,13.6%,
9,4-4-25,leaf,"5,270",49,18.5%,
9,4-4-25,Total Score,"30,972",191,Avg Rank,
,,,,,,
10,4-7-25,swouse,"6,852",30,19.0%,"3,426"
10,4-7-25,cteszn,"6,320",88,17.6%,
10,4-7-25,caustic,"6,605",55,18.4%,
10,4-7-25,sweat,"5,250",275,14.6%,
10,4-7-25,mccasual,"5,829",171,16.2%,
10,4-7-25,robertjr88,"5,115",307,14.2%,
10,4-7-25,Total Score,"39,397",154,Avg Rank,
,,,,,,
11,4-10-25,swouse,"4,845",54,17.7%,"2,423"
11,4-10-25,cteszn,"5,051",46,18.4%,
11,4-10-25,caustic,"4,839",56,17.6%,
