Week,Date,Score,Opponent,Opp. Score,Result,Margin,Median Starter,Average Starter
1,3-6-25,"41,796",Stimmers,"36,316",Win,"5,480",6561.5,6394.3
2,3-10-25,"36,201",Lean Team,"34,382",Win,"1,819",5637.5,5571.5
3,3-13-25,"48,226",Gamblers,"44,326",Win,"3,900",7206.5,7061.3
4,3-16-25,"30,064",Hornets,"24,664",Win,"5,400",4317,4351
5,3-19-25,"33,145",Otters,"29,826",Win,"3,319",4975,4815.9
6,3-22-25,"44,503",Amigos,"27,620",Win,"16,883",6313.5,6041.7
7,3-26-25,"18,982",Demons,"20,138",Loss,"-1,156",2703,2702.5
8,3-29-25,"58,348",MLB,"52,551",Win,"5,797",8475,8349.8
9,4-4-25,"30,972",Voyage,"27,009",Win,"3,963",4467,4608.2
10,4-7-25,"39,397",Empire,"39,816",Loss,-419,5928.5,5872.9
11,4-10-25,"29,860",Freaks,"31,509",Loss,"-1,649",4171.5,4266.9
12,4-13-25,"37,228",Donuts,"34,239",Win,"2,989",5635,5539.5
13,4-16-25,"22,331",Flames,"28,382",Loss,"-6,051",3861.5,3813.3
14,4-19-25,"47,691",Stars,"50,762",Loss,"-3,071",7413.5,7442.7
15,4-23-25,"43,210",Heroes,"36,234",Win,"6,976",6374,6141.4
,,,,,,,,
R1.1,4-28-25,"26,733",Heroes,"22,496",Win,"4,237",3920,3958
R1.2,4-29-25,"42,625",Heroes,"45,749",Loss,"-3,124",6561.5,6629.9
R1.3,4-30-25,"35,757",Heroes,"38,763",Loss,"-3,006",5469.5,5440.5
,,,,,,,,
Total,,"561,954",,"517,774",,"44,180",,
