Team,Player,GP,AAG (Median),AAG (Mean),AAG% (Median),AAG% (Mean),REL (Median),REL (Mean),1.1 3/6,1.2 3/7,1.3 3/8,2.1 3/9,2.2 3/10,2.3 3/11,3.1 3/12,3.2 3/13,3.3 3/14,4.1 3/15,4.2 3/16,4.3 3/17,5.1 3/18,5.2 3/19,5.3 3/20,6.1 3/21,6.2 3/22,6.3 3/23,7.1 3/24,7.2 3/25,7.3 3/26,8.1 3/27,8.2 3/28,8.3 3/29,9.1 4/2,9.2 4/3,9.3 4/4,10.1 4/5,10.2 4/6,10.3 4/7,11.1 4/8,11.2 4/9,11.3 4/10,12.1 4/11,12.2 4/12,12.3 4/13,13.1 4/14,13.2 4/15,13.3 4/16,14.1 4/17,14.2 4/18,14.3 4/19,15.1 4/21,15.2 4/22,15.3 4/23
RKL,Average Player (Median),,,,50%,,1.000,,6561.5,6203.0,10642.5,7624.5,5637.5,4567.0,6113.0,7206.5,7730.5,8698.5,4317.0,3086.0,6515.5,4975.0,8869.0,7702.5,6313.5,7694.0,4549.5,2909.5,2703.0,8629.0,6506.5,8475.0,5395.0,4178.5,4467.0,6640.0,4165.5,5928.5,6776.0,5579.0,4171.5,4648.5,5916.0,5635.0,2573.5,5516.0,3861.5,3195.5,5025.5,7413.5,3786.0,9435.0,6374.0
RKL,Average Player (Mean),,,,,50%,,1.000,6394.3,6165.9,10358.8,7568.4,5571.5,4780.5,6120.2,7061.3,7320.8,8633.2,4351.0,3038.3,6319.7,4815.9,8618.0,7742.7,6041.7,7514.9,4445.0,2812.3,2702.5,7843.0,6214.1,8349.8,5237.1,4199.2,4608.2,6736.5,3917.9,5872.9,6214.2,5386.5,4266.9,4479.5,5712.7,5539.5,2544.4,5474.7,3813.3,3142.5,4973.0,7442.7,3567.4,9161.7,6141.4
Tacos,@bam,15,8,9,53%,60%,1.025,1.054,6982,,,7186,,,6402,,,7706,,,8014,,,7954,,,4816,,,8616,,,5660,,,6498,,,6114,,,5249,,,2281,,,3074,,,5099,,
Tacos,@burgerking,15,12,14,80%,93%,1.048,1.077,7777,,,7928,,,6228,,,8729,,,6804,,,8678,,,5238,,,9258,,,5874,,,6887,,,6511,,,4489,,,1811,,,3679,,,3819,,
Tacos,@gschmoney,3,2,2,67%,67%,1.009,1.025,,,,,,,,,,,,,5736,,,8609,,,,,,,,,5443,,,,,,,,,,,,,,,,,,,,
Tacos,@iverson,15,12,12,80%,80%,1.079,1.109,5927,,,9143,,,7659,,,8800,,,7300,,,7866,,,5564,,,8842,,,6352,,,6480,,,6939,,,5455,,,1711,,,3911,,,4496,,
Tacos,@ryoshi,9,8,8,89%,89%,1.115,1.143,7410,,,8937,,,,,,10283,,,,,,,,,,,,,,,,,,6913,,,7522,,,5757,,,2222,,,3408,,,3881,,
Tacos,@siri,15,7,8,47%,53%,0.981,1.008,6621,,,9041,,,6475,,,7008,,,5912,,,6987,,,5279,,,7309,,,5370,,,5972,,,6207,,,5474,,,3352,,,3566,,,3101,,
Tacos,@tacko,6,3,3,50%,50%,0.900,0.935,,,,,,,5442,,,,,,,,,,,,5597,,,4723,,,6628,,,,,,,,,,,,3179,,,1853,,,,,
Tacos,@tezzywezzy,8,5,6,63%,75%,1.059,1.102,,,,,,,,,,,,,5769,,,9313,,,4815,,,8845,,,,,,8277,,,7275,,,4538,,,,,,,,,3330,,
Tacos,@zionwilliamson (@metcalf),4,3,3,75%,75%,0.901,0.910,6655,,,8279,,,7296,,,3906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kings,@btjszn (@nate_) ,9,5,6,56%,67%,1.006,1.032,6021,,,8970,,,6479,,,9109,,,6454,,,,7123,,,1254,,,7721,,,,,,2629,,,,,,,,,,,,,,,,
Kings,@cinemax,7,1,1,14%,14%,0.844,0.857,5427,,,7993,,,5574,,,6235,,,6017,,,,4900,,,,,,,,,,,,,,,,,,,,,,,,,5422,,,
Kings,@clase (@hvl),10,6,7,60%,70%,1.025,1.048,,,,,,,,,,,,,,,,,5512,,,3830,,,6872,,,4219,,,4556,,,,4426,,,5440,,,3860,,,7363,,,6737
